recording,name,frameTime,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,F4frequency_sma3nz,F4bandwidth_sma3nz,F5frequency_sma3nz,F5bandwidth_sma3nz,Loudness_sma3_de,alphaRatio_sma3_de,hammarbergIndex_sma3_de,slope0-500_sma3_de,slope500-1500_sma3_de,spectralFlux_sma3_de,mfcc1_sma3_de,mfcc2_sma3_de,mfcc3_sma3_de,mfcc4_sma3_de,F0semitoneFrom27.5Hz_sma3nz_de,jitterLocal_sma3nz_de,shimmerLocaldB_sma3nz_de,HNRdBACF_sma3nz_de,logRelF0-H1-H2_sma3nz_de,logRelF0-H1-A3_sma3nz_de,F1frequency_sma3nz_de,F1bandwidth_sma3nz_de,F1amplitudeLogRelF0_sma3nz_de,F2frequency_sma3nz_de,F2bandwidth_sma3nz_de,F2amplitudeLogRelF0_sma3nz_de,F3frequency_sma3nz_de,F3bandwidth_sma3nz_de,F3amplitudeLogRelF0_sma3nz_de,pcm_fftMag_spectralRollOff25.0_sma_de,pcm_fftMag_spectralRollOff50.0_sma_de,pcm_fftMag_spectralRollOff75.0_sma_de,pcm_fftMag_spectralRollOff90.0_sma_de,pcm_fftMag_spectralCentroid_sma_de,pcm_fftMag_spectralEntropy_sma_de,pcm_fftMag_spectralVariance_sma_de,pcm_fftMag_spectralSkewness_sma_de,pcm_fftMag_spectralKurtosis_sma_de,pcm_fftMag_spectralSlope_sma_de,pcm_fftMag_psySharpness_sma_de,pcm_fftMag_spectralHarmonicity_sma_de,F4frequency_sma3nz_de,F4bandwidth_sma3nz_de,F5frequency_sma3nz_de,F5bandwidth_sma3nz_de,voicingFinalUnclipped,flac_file_name,speaker_id,audio_path,gender,codec,codec_q,codec_seed,attack_tag,attack_label,key
D_0000181693.wav,'unknown',0.0,0.3701466,-3.120815,8.25483,0.02754604,-0.01095009,0.03348519,10.66918,-6.103185,13.00192,-8.435161,NaN,NaN,NaN,NaN,NaN,NaN,410.1999,994.1748,-201.0,1452.267,705.751,-201.0,2450.065,945.3229,-201.0,333.3333,968.75,1427.083,3020.833,1189.251,5.560095,1379004.0,1.70408,6.328944,-0.001172031,0.8782029,0.002978317,3147.404,858.5172,4018.906,429.7199,0.08601137,2.085435,-1.950755,-0.001127753,0.00333983,0.03179945,-2.732556,-1.554455,-0.2749465,1.467767,NaN,NaN,NaN,NaN,NaN,NaN,44.17377,29.97318,0.0,29.02666,27.17257,0.0,21.81819,-24.31691,0.0,226.0417,308.3333,350.0,189.5833,249.0835,0.2355947,103336.5,-0.2170112,-0.5475944,-0.0006538466,0.1446171,0.002790726,53.56262,-37.48662,0.3531738,-13.8516,0.5033189,D_0000181693,D_3609,/home/nkhaloo/Desktop/asvspoof5/audio/flac_D/D_0000181693.flac,F,-,-,-,AC1,A13,spoof
D_0000181693.wav,'unknown',0.01,0.5240963,1.120239,4.075233,0.02470789,-0.004047834,0.09433132,5.163649,-9.321571,12.85152,-6.068796,NaN,NaN,NaN,NaN,NaN,NaN,399.2284,1089.05,-201.0,1381.45,763.1989,-201.0,2389.522,900.1946,-201.0,802.0833,1656.25,2135.417,3395.833,1708.095,6.033914,1550254.0,1.227196,5.233688,-0.002104605,1.173574,0.007088164,3142.912,852.9673,4016.147,403.5283,0.1351178,2.986956,-2.42596,-0.003335503,0.005324632,0.04507669,-3.926065,-2.110917,-0.6661587,2.381559,NaN,NaN,NaN,NaN,NaN,NaN,78.55701,43.04176,0.0,40.22887,75.24813,0.0,37.24424,-27.48879,0.0,327.0833,392.7083,456.25,276.0417,343.3544,0.306416,140442.0,-0.261981,-0.6673822,-0.001188781,0.1993021,0.00499742,78.15356,-39.04563,-803.4667,-91.5602,0.4959833,D_0000181693,D_3609,/home/nkhaloo/Desktop/asvspoof5/audio/flac_D/D_0000181693.flac,F,-,-,-,AC1,A13,spoof
D_0000181693.wav,'unknown',0.02,0.7232286,5.185831,0.5908521,0.02332634,0.002297936,0.1620594,-0.2408308,-12.26627,11.70238,-2.279506,NaN,NaN,NaN,NaN,NaN,NaN,636.5544,1096.603,-201.0,1632.81,812.89,-201.0,2589.427,846.3026,-201.0,1229.167,2166.667,2822.917,3781.25,2175.246,6.501159,1810062.0,0.8574659,4.1386,-0.003974977,1.453602,0.01487702,3417.463,673.8589,4022.052,373.5578,0.1219043,2.859478,-1.958178,-0.003078126,0.005449623,0.04674303,-3.824835,-1.732183,-0.7184291,2.619246,NaN,NaN,NaN,NaN,NaN,NaN,67.11021,89.17796,0.0,28.82319,95.63238,0.0,35.17878,-9.253589,0.0,311.4583,330.2083,422.9167,300.0001,324.6461,0.2746511,147905.2,-0.2160375,-0.5953066,-0.001116961,0.1893692,0.004797506,74.70866,-29.35192,-412.8363,-28.22792,0.511417,D_0000181693,D_3609,/home/nkhaloo/Desktop/asvspoof5/audio/flac_D/D_0000181693.flac,F,-,-,-,AC1,A13,spoof
D_0000181693.wav,'unknown',0.03,0.8691948,7.660643,-0.0429798,0.01297836,0.00904906,0.1945815,-3.50614,-13.57623,10.32089,0.394809,NaN,NaN,NaN,NaN,NaN,NaN,689.8076,1158.169,-201.0,1563.141,1028.422,-201.0,2566.605,857.3892,-201.0,1520.833,2333.333,3010.417,4020.833,2413.025,6.621644,1865685.0,0.817482,4.087204,-0.005714461,1.587014,0.02201607,3403.142,755.6181,NaN,NaN,0.03500629,1.404558,-0.7357373,0.001018676,0.003041605,0.0235416,-2.044507,-0.2657818,-0.1547065,1.339693,NaN,NaN,NaN,NaN,NaN,NaN,-26.1824,117.707,0.0,-51.31586,59.00058,0.0,-26.55796,-2.122217,0.0,117.7084,142.7083,226.0417,213.5417,170.8435,0.1376732,120049.2,-0.1032649,-0.348588,-0.0002931248,0.09865391,0.001492804,-1.145508,9.266968,NaN,NaN,0.5071855,D_0000181693,D_3609,/home/nkhaloo/Desktop/asvspoof5/audio/flac_D/D_0000181693.flac,F,-,-,-,AC1,A13,spoof
D_0000181693.wav,'unknown',0.04,0.8071189,7.90637,0.5230445,0.01802017,0.009749579,0.2170752,-4.1201,-12.63677,10.67509,1.429264,NaN,NaN,NaN,NaN,NaN,NaN,600.4612,1405.505,-201.0,1505.538,1051.301,-201.0,2537.418,920.4577,-201.0,1531.25,2281.25,3104.167,4208.333,2460.016,6.639486,1960814.0,0.8287496,3.925653,-0.004951907,1.618329,0.01950189,3390.832,760.4322,3962.798,490.3445,-0.06760702,-0.3826765,0.3956104,0.004568956,-0.0003032298,-0.004879697,0.1903845,1.473711,0.853655,-0.2530144,NaN,NaN,NaN,NaN,NaN,NaN,-119.1516,111.8014,0.0,-114.04,-23.86542,0.0,-84.49351,-8.420184,0.0,-98.95833,-64.58335,42.70832,95.83337,-6.572314,0.009146881,105919.0,-0.01929634,-0.1826973,0.0008192297,-0.007210779,-0.003030186,-73.53796,30.10715,396.6497,58.44047,0.5048166,D_0000181693,D_3609,/home/nkhaloo/Desktop/asvspoof5/audio/flac_D/D_0000181693.flac,F,-,-,-,AC1,A13,spoof
D_0000181693.wav,'unknown',0.05,0.6571826,6.782759,0.4304502,0.03245436,0.00743437,0.1845314,-3.119253,-10.46523,12.59164,-1.224716,NaN,NaN,NaN,NaN,NaN,NaN,286.3629,1523.134,-201.0,1188.506,938.9962,-201.0,2282.738,852.5059,-201.0,1239.583,2312.5,3125.0,4250.0,2419.927,6.653117,2075124.0,0.7252299,3.597221,-0.003081764,1.584481,0.01223975,3150.5,856.0156,3993.732,462.1498,-0.09845392,-2.311606,1.584212,0.008854209,-0.003957386,-0.01301254,2.449831,3.049939,0.9432702,-2.154592,NaN,NaN,NaN,NaN,NaN,NaN,-53.6893,20.15319,0.0,-20.51304,-51.03503,0.0,-26.06157,-18.13417,0.0,-278.125,-273.9583,-202.0833,-168.75,-209.7505,-0.1470292,36337.99,0.1656185,0.4944351,0.0003010978,-0.122401,-0.004144493,-16.41553,8.738489,809.9532,74.77695,0.5611048,D_0000181693,D_3609,/home/nkhaloo/Desktop/asvspoof5/audio/flac_D/D_0000181693.flac,F,-,-,-,AC1,A13,spoof
D_0000181693.wav,'unknown',0.06,0.4911996,3.71139,2.332189,0.03643312,0.001589132,0.142686,0.5176482,-6.453213,14.83529,-2.734816,NaN,NaN,NaN,NaN,NaN,NaN,242.519,1473.128,-201.0,1249.927,738.2759,-201.0,2308.894,806.6432,-201.0,875.0,1854.167,2979.167,4145.833,2138.933,6.531157,2234938.0,0.8071102,3.470105,-0.001195177,1.418815,0.004614254,3176.094,774.196,4008.434,434.6852,-0.03672882,-3.507839,2.896451,0.005793381,-0.005756299,0.000284259,3.714384,3.774261,-0.314564,-3.345591,NaN,NaN,NaN,NaN,NaN,NaN,34.41555,-59.83057,0.0,57.46806,1.800409,0.0,29.37774,-10.87007,0.0,-309.375,-448.9583,-479.1667,-395.8334,-361.8332,-0.3263713,-83799.05,0.3965541,1.345587,-0.002212184,-0.2062722,0.0009966429,29.39605,7.727466,-789.2381,-104.1124,0.5567603,D_0000181693,D_3609,/home/nkhaloo/Desktop/asvspoof5/audio/flac_D/D_0000181693.flac,F,-,-,-,AC1,A13,spoof
D_0000181693.wav,'unknown',0.07,0.5348849,-1.7999,6.973508,0.04804293,-0.006657643,0.1667135,6.424143,-1.418315,12.95714,-8.296109,NaN,NaN,NaN,NaN,NaN,NaN,600.3322,1225.124,-201.0,1588.381,929.7598,-201.0,2550.559,823.6255,-201.0,458.3333,1177.083,2062.5,3208.333,1524.814,5.940662,1910314.0,1.656394,6.787154,-0.006087337,1.074766,0.008737418,3428.434,792.4286,4026.948,401.7144,0.03893346,-3.695098,3.638901,0.001144116,-0.004693207,0.03820094,3.79961,3.787287,-1.604393,-3.28805,NaN,NaN,NaN,NaN,NaN,NaN,98.5978,-55.01868,0.0,106.3139,71.80412,0.0,76.80202,-3.824317,0.0,-235.4167,-506.25,-678.125,-497.9167,-415.9916,-0.4516846,-192284.3,0.5583043,1.928386,-0.004179638,-0.2352912,0.005696083,79.90115,2.049182,-404.5085,-34.51523,0.5698094,D_0000181693,D_3609,/home/nkhaloo/Desktop/asvspoof5/audio/flac_D/D_0000181693.flac,F,-,-,-,AC1,A13,spoof
D_0000181693.wav,'unknown',0.08,0.6846237,-5.341496,11.73377,0.03919279,-0.01198591,0.2274055,9.680123,1.711076,8.919514,-11.76299,NaN,NaN,NaN,NaN,NaN,NaN,615.5544,1255.357,-201.0,1592.941,1064.922,-201.0,2550.396,880.5475,-201.0,375.0,604.1667,1239.583,2750.0,1098.407,5.363857,1624224.0,2.345938,9.058623,-0.01451004,0.8418257,0.02623627,3398.846,830.863,NaN,NaN,0.06093911,-2.800999,3.099267,-0.002011596,-0.001924052,0.04552787,2.838005,2.929972,-1.778231,-2.561959,NaN,NaN,NaN,NaN,NaN,NaN,9.762695,-9.554736,0.0,0.8639892,50.60552,0.0,6.97539,-39.52822,0.0,-135.4167,-372.9167,-627.0833,-456.2501,-332.8058,-0.4274503,-228373.1,0.5351846,2.064761,-0.003778069,-0.1903711,0.006753363,13.96633,-10.59348,NaN,NaN,0.5778451,D_0000181693,D_3609,/home/nkhaloo/Desktop/asvspoof5/audio/flac_D/D_0000181693.flac,F,-,-,-,AC1,A13,spoof
D_0000181693.wav,'unknown',0.09,0.7551379,-7.166286,13.92416,0.03679511,-0.009244141,0.3331763,11.29756,4.389063,7.527558,-13.15088,NaN,NaN,NaN,NaN,NaN,NaN,592.8343,1356.926,-201.0,1548.569,1134.694,-201.0,2545.997,796.4322,-201.0,312.5,406.25,604.1667,2458.333,860.2325,4.978344,1419059.0,2.747338,10.44489,-0.01732252,0.6965194,0.02990915,3438.63,837.928,3975.406,506.9163,-0.003546798,-1.659007,1.915278,-0.004208745,0.001116849,0.01915315,1.899109,2.300496,-0.4624953,-0.7545006,NaN,NaN,NaN,NaN,NaN,NaN,-85.42412,18.84559,0.0,-93.06382,-33.93541,0.0,-57.11745,-74.62345,0.0,-56.25,-193.75,-372.9167,-376.0417,-196.5499,-0.2757732,-185929.3,0.4130884,2.083466,-0.0002085436,-0.1192776,0.0007451177,-47.03479,-44.35001,401.7104,60.03431,0.6168038,D_0000181693,D_3609,/home/nkhaloo/Desktop/asvspoof5/audio/flac_D/D_0000181693.flac,F,-,-,-,AC1,A13,spoof
